titre,type_bien,type_annonce,prix,devise,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,source,date_publication,caracteristiques,subcategory,url,scraped_at
,terrain,Location,2500.0,MRU,100.0,32.0,,2.0,Tevragh Zeina,Nouakchott,"Appartement -Studio- Suites Contact = 31351717-32161204-46802982 Bath Rent Type Daily Rent ,500 MRU Residential Property Grand plaza 31351717",voursa.com,9 months ago,garage; furnished,Residential Property,https://voursa.com/EN/categories/real_estate/ads/-%D8%AC%D8%B1%D8%A7%D9%86%D8%AF-%D8%A8%D9%84%D8%A7%D8%B2%D8%A7-grand-plaza-6dc7,2026-02-27T14:47:26.822720
,terrain,Vente,4000000.0,MRU,300.0,0.0,,0.0,Tevragh Zeina,Nouakchott,"فرصة مساحة 300 فيها ديبلكس مبني في 150 و 150 ما فيها شي في الكرن في حي كرمي غنودرت مبيوع اليوم ب 40 مليون واتساب 48889930 للاتصال 34232357 Bath ديبلكس للبيع Tevragh Zeina 4,000,000 MRU Residential Property Agence LEWEDLI 48889930 +22248889930",voursa.com,23 hours ago,,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D8%AF%D9%8A%D8%A8%D9%84%D9%83%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9--fe21,2026-02-27T14:47:29.148835
,terrain,Vente,630000.0,MRU,140.0,6.0,,2.0,Tevragh Zeina,Nouakchott,"الموقع: نواكشوط – منطقة تيارت (TEYARET) الحي: دار البركة (DAR EL BARKA) القطاع: SOCGIM المساحة: 140 متر مربع Bath نيمرو فعين الطلح Teyarett 630,000 MRU Residential Property SmartZone MR 46123522 +22246123522",voursa.com,4 hours ago,,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D9%86%D9%8A%D9%85%D8%B1%D9%88-%D9%81%D8%B9%D9%8A%D9%86-%D8%A7%D9%84%D8%B7%D9%84%D8%AD-6b5d,2026-02-27T14:47:30.624240
,terrain,Vente,1800000.0,MRU,150.0,0.0,,0.0,Tevragh Zeina,Nouakchott,"فرصة برتماهين واحد الفوك و الثاني التحت مساحة 150 م في عين الطلح الدخل 120 الف كل واحد فيه بيتين و مرافق مبيوعين [ 18 ] مليون واتساب 48889930 للاتصال 34232357 Bath شقتين للبيع Teyarett 1,800,000 MRU Residential Property Agence LEWEDLI 48889930 +22248889930",voursa.com,23 hours ago,,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D8%B4%D9%82%D8%AA%D9%8A%D9%86-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-2892,2026-02-27T14:47:32.121535
,villa,Vente,4200000.0,MRU,200.0,4.0,,2.0,Tevragh Zeina,Nouakchott,"البناء جديد ونظيفة تبارك الله وشارعها كبير ملاحظة للراغبين في شراء او بيع دار او نيمرو ماعليكم سوى التواصل معنا والله المستعان Bath ,200,000 MRU Residential Property محمدفال 49299274",voursa.com,1 day ago,garage,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D9%81%D9%8A%D9%84%D8%A7-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%81%D9%88%D8%B2-%D8%A7%D9%84%D8%A8%D9%88%D8%A7%D8%AF%D9%8A-%D9%86%D8%B8%D9%8A%D9%81%D8%A9-c8e9,2026-02-27T14:47:32.261641
,terrain,Vente,900000.0,MRU,150.0,5.0,,2.0,Tevragh Zeina,Nouakchott,"دار احذ امسيد اهل احمد يوره فوكه استيديو Bath ,000 MRU Residential Property محمد عبد الله ولد سيكه 49233330",voursa.com,24 hours ago,garage,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D8%AF%D8%A7%D8%B1-%D9%81%D8%AA%D9%86%D8%B3%D9%88%D9%8A%D9%84%D9%85-%D8%A7%D8%AD%D8%B0-%D8%A7%D9%85%D8%B3%D9%8A%D8%AF-%D8%A7%D9%87%D9%84-%D8%A7%D8%AD%D9%85%D8%AF-%D9%8A%D9%88%D8%B1%D9%87-3aa8,2026-02-27T14:47:33.845325
,terrain,Inconnu,550000.0,MRU,150.0,3.0,,2.0,Tevragh Zeina,Nouakchott,"دار اهوينه فملح سكتير 1 Bath ,000 MRU Residential Property محمد عبد الله ولد سيكه 49233330",voursa.com,24 hours ago,garage,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D8%AF%D8%A7%D8%B1-%D9%81%D9%85%D9%84%D8%AD-%D8%B3%D9%83%D8%AA%D9%8A%D8%B1-1-0e87,2026-02-27T14:47:34.011994
,terrain,Inconnu,6500000.0,MRU,216.0,4.0,,1.0,Tevragh Zeina,Nouakchott,"سعر 65 مليون دخلهم 400ول 500 حد ادورهم تلفنل اعل واتساب وتوف 26678975 Bath ابرتمهات فهاش 8 Teyarett 6,500,000 MRU Residential Property الخدمات العامه 28226540",voursa.com,21 hours ago,,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D8%A7%D8%A8%D8%B1%D8%AA%D9%85%D9%87%D8%A7%D8%AA-%D9%81%D9%87%D8%A7%D8%B4-8-6df5,2026-02-27T14:47:35.386574
,terrain,Vente,900000.0,MRU,15.0,5.0,,2.0,Tevragh Zeina,Nouakchott,"منزل لبيع مبني بتوه في عرفات داي 18 Bath ,000 MRU Residential Property مريم عمر 41879307",voursa.com,2 days ago,furnished,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D8%AF%D8%A7%D8%B1-6d31,2026-02-27T14:47:35.429719
,terrain,Vente,5800000.0,MRU,200.0,0.0,,0.0,Tevragh Zeina,Nouakchott,"ديبلكس ابريميير شوا احذ كارفور جامبور المساحه 200 م² السعر 58 مليون واتساب 48889930 للاتصال 34232357 Bath ديبلكس للبيع Tevragh Zeina 5,800,000 MRU Residential Property Agence LEWEDLI 48889930 +22248889930",voursa.com,5 days ago,,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D8%AF%D9%8A%D8%A8%D9%84%D9%83%D8%B3-%D9%84%D9%84%D8%A8%D9%8A%D8%B9--0491,2026-02-27T14:47:36.922954
,villa,Vente,5500000.0,MRU,250.0,4.0,,2.0,Tevragh Zeina,Nouakchott,"فرصة ارضية ف صحراوي قرب سكن سفير العمان موقع جيد الشارع كبيير _وتساب Bath ,500,000 MRU Residential Property mohamed 26737121",voursa.com,1 day ago,garage,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D9%81%D8%B1%D8%B5%D8%A9-%D8%A7%D8%B1%D8%B6%D9%8A%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81-%D8%B5%D8%AD%D8%B1%D8%A7%D9%88%D9%8A-%D9%82%D8%B1%D8%A8-%D8%B3%D9%83%D9%86-%D8%B3%D9%81%D9%8A%D8%B1-%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%86-%D9%88%D8%AA%D8%B3%D8%A7%D8%A8--9e32,2026-02-27T14:47:36.962968
,terrain,Vente,650000.0,MRU,150.0,3.0,,2.0,Tevragh Zeina,Nouakchott,"Previous Next دار بين كرفور جسر الحي الساكن و كرفور ول ابادو Bath ,000 MRU Residential Property محمد عبد الله ولد سيكه 49233330",voursa.com,23 hours ago,garage,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D8%AF%D8%A7%D8%B1-%D8%A7%D8%B9%D9%84-%D9%83%D8%AF%D8%B1%D9%88%D9%87-%D8%A7%D9%84-%D8%A8%D9%8A%D9%86-%D8%AC%D8%B3%D8%B1-%D8%A7%D9%84%D8%AD%D9%8A-%D8%A7%D9%84%D8%B3%D8%A7%D9%83%D9%86-%D9%88-%D9%83%D8%B1%D9%81%D9%88%D8%B1-%D9%88%D9%84-%D8%A7%D8%A8%D8%A7%D8%AF%D9%88-105a,2026-02-27T14:47:37.158989
,terrain,Vente,9000000.0,MRU,15.0,5.0,,2.0,Tevragh Zeina,Nouakchott,"منزل لبيع في عرفات Bath دار Arafat 9,000,000 MRU Residential Property مريم عمر 41879307",voursa.com,3 days ago,,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D8%AF%D8%A7%D8%B1-ce3c,2026-02-27T14:47:38.066557
,terrain,Vente,700000.0,MRU,180.0,4.0,,1.0,Tevragh Zeina,Nouakchott,"سعر 7 ملايين حد شاري ول عندو طلب ول تراب ايدور ابيعه تلفنل اعل واتساب وتوف 26678975 Bath دار اعل كدروه فدار النعيم Teyarett 700,000 MRU Residential Property الخدمات العامه 28226540",voursa.com,19 hours ago,,Residential Property,https://voursa.com/EN/categories/real_estate/ads/%D8%AF%D8%A7%D8%B1-%D8%A7%D8%B9%D9%84-%D9%83%D8%AF%D8%B1%D9%88%D9%87-%D9%81%D8%AF%D8%A7%D8%B1-%D8%A7%D9%84%D9%86%D8%B9%D9%8A%D9%85--191d,2026-02-27T14:47:38.577700
